-,-,-
-646, -311, 711
-582, -323, 587
-562, -315, 448
-562, -315, 448
-539, -313, 497
-534, -372, 668
-558, -403, 785
-431, -439, 713
-333, -402, 618
-300, -357, 602
-299, -386, 699
-201, -461, 648
-154, -448, 546
-157, -425, 505
-231, -386, 588
-303, -273, 607
-323, -174, 505
-476, -135, 452
-476, -135, 452
-620, -122, 485
-830, -52, 693
-912, 5, 839
-981, 70, 900
-1103, 132, 989
-1185, 188, 1078
-1283, 311, 1186
-1307, 451, 1162
-1309, 575, 1066
-1371, 699, 984
-1391, 852, 925
-1285, 923, 892
-1285, 923, 892
-1117, 863, 905
-910, 690, 878
-710, 464, 843
-478, 259, 790
-251, -41, 853
-60, -344, 933
148, -618, 902
208, -736, 830
229, -898, 812
229, -898, 812
205, -1018, 848
114, -1030, 861
74, -1080, 881
-10, -1084, 937
-114, -1074, 991
-189, -1093, 1069
-367, -1019, 1182
-452, -1074, 1209
-578, -1150, 1257
-599, -1260, 1300
-673, -1166, 1349
-680, -907, 1354
-660, -567, 1194
-556, -305, 859
-478, 2, 469
-495, 306, 165
-555, 565, 31
-540, 644, 64
-540, 644, 64
-,-,-
-419, -407, 264
-530, -372, 425
-564, -314, 637
-525, -336, 686
-525, -336, 686
-385, -414, 568
-401, -368, 500
-424, -324, 544
-443, -318, 632
-366, -374, 656
-343, -330, 583
-476, -221, 557
-512, -187, 581
-538, -152, 636
-590, -108, 674
-647, -114, 673
-727, -110, 736
-786, -52, 843
-786, -52, 843
-812, 6, 889
-854, 9, 936
-869, 14, 934
-867, 53, 946
-895, 137, 989
-895, 137, 989
-927, 227, 1004
-908, 259, 994
-919, 312, 929
-972, 435, 884
-935, 479, 880
-907, 515, 856
-811, 528, 746
-773, 471, 705
-773, 471, 705
-653, 308, 752
-560, 117, 856
-458, -28, 879
-389, -138, 855
-293, -330, 895
-235, -499, 991
-177, -636, 1040
-177, -701, 1056
-139, -790, 1077
-101, -859, 1116
-115, -917, 1176
-120, -993, 1211
-136, -1011, 1192
-183, -938, 1097
-221, -995, 1084
-265, -1132, 1133
-311, -1203, 1192
-345, -1009, 1098
-358, -732, 923
-436, -453, 781
-478, -283, 706
-478, -96, 598
-478, -96, 598
-,-,-
-80, -75, 1032
-80, -75, 1032
-27, -135, 991
-5, -64, 1022
53, 20, 1041
110, 9, 1123
231, -72, 1087
231, -72, 1087
303, -115, 1021
237, -69, 1095
165, -18, 1109
142, -32, 1003
112, -73, 879
0, -82, 795
0, -82, 795
-137, -98, 819
-296, -114, 884
-451, -103, 926
-584, -53, 925
-695, 7, 942
-825, 38, 998
-825, 38, 998
-936, 67, 1038
-951, 73, 1088
-826, 87, 1029
-720, 118, 921
-656, 126, 850
-579, 78, 838
-579, 78, 838
-436, -29, 875
-241, -141, 887
-103, -213, 905
-34, -232, 939
76, -308, 931
178, -440, 917
249, -532, 921
249, -532, 921
248, -501, 967
266, -468, 1011
315, -540, 1060
327, -612, 1103
328, -716, 1124
304, -781, 1135
320, -826, 1044
267, -790, 961
208, -734, 926
149, -719, 978
149, -719, 978
119, -706, 972
49, -659, 957
-70, -560, 911
-139, -480, 844
-157, -460, 754
-112, -567, 777
-147, -617, 924
-209, -442, 946
-180, -186, 784
-180, -186, 638
-68, -48, 638
-26, -43, 781
-45, 128, 1002
-41, 430, 1076
-35, 593, 1137
-,-,-
-101, -648, 813
-77, -627, 860
-129, -595, 838
-135, -591, 811
-115, -567, 831
-153, -510, 909
-121, -514, 907
-121, -514, 815
-111, -482, 815
-176, -426, 845
-207, -405, 877
-270, -341, 898
-331, -256, 852
-404, -138, 811
-461, -51, 813
-519, 32, 841
-583, 119, 894
-644, 225, 917
-644, 225, 917
-654, 296, 887
-663, 345, 871
-689, 374, 872
-681, 358, 851
-649, 347, 786
-628, 350, 751
-598, 368, 764
-561, 440, 694
-561, 440, 694
-513, 449, 610
-457, 339, 642
-370, 177, 723
-317, 46, 842
-238, -67, 877
-158, -217, 902
